SA_UUID, Interval Timestamp, Delivered From Grid Value (Wh), Back To Grid Value (Wh)
6745359, Sun Oct 24 2021 17:00:00 GMT-0700 (Pacific Daylight Time), 3445, 0
6745359, Sun Oct 24 2021 18:00:00 GMT-0700 (Pacific Daylight Time), 2534, 0
6745359, Sun Oct 24 2021 19:00:00 GMT-0700 (Pacific Daylight Time), 932, 0
6745359, Sun Oct 24 2021 20:00:00 GMT-0700 (Pacific Daylight Time), 1093, 0
6745359, Sun Oct 24 2021 21:00:00 GMT-0700 (Pacific Daylight Time), 1028.999, 0
6745359, Sun Oct 24 2021 22:00:00 GMT-0700 (Pacific Daylight Time), 851, 0
6745359, Sun Oct 24 2021 23:00:00 GMT-0700 (Pacific Daylight Time), 544, 0
6745359, Mon Oct 25 2021 00:00:00 GMT-0700 (Pacific Daylight Time), 1437, 0
6745359, Mon Oct 25 2021 01:00:00 GMT-0700 (Pacific Daylight Time), 285, 0
6745359, Mon Oct 25 2021 02:00:00 GMT-0700 (Pacific Daylight Time), 354, 0
6745359, Mon Oct 25 2021 03:00:00 GMT-0700 (Pacific Daylight Time), 349, 0
6745359, Mon Oct 25 2021 04:00:00 GMT-0700 (Pacific Daylight Time), 292, 0
6745359, Mon Oct 25 2021 05:00:00 GMT-0700 (Pacific Daylight Time), 314, 0
6745359, Mon Oct 25 2021 06:00:00 GMT-0700 (Pacific Daylight Time), 439, 0
6745359, Mon Oct 25 2021 07:00:00 GMT-0700 (Pacific Daylight Time), 699, 0
6745359, Mon Oct 25 2021 08:00:00 GMT-0700 (Pacific Daylight Time), 585, 4
6745359, Mon Oct 25 2021 09:00:00 GMT-0700 (Pacific Daylight Time), 522, 366
6745359, Mon Oct 25 2021 10:00:00 GMT-0700 (Pacific Daylight Time), 274, 395
6745359, Mon Oct 25 2021 11:00:00 GMT-0700 (Pacific Daylight Time), 429, 231
6745359, Mon Oct 25 2021 12:00:00 GMT-0700 (Pacific Daylight Time), 333, 87
6745359, Mon Oct 25 2021 13:00:00 GMT-0700 (Pacific Daylight Time), 467, 115
6745359, Mon Oct 25 2021 14:00:00 GMT-0700 (Pacific Daylight Time), 101, 594
6745359, Mon Oct 25 2021 15:00:00 GMT-0700 (Pacific Daylight Time), 117, 306
6745359, Mon Oct 25 2021 16:00:00 GMT-0700 (Pacific Daylight Time), 192, 100
6745359, Mon Oct 25 2021 17:00:00 GMT-0700 (Pacific Daylight Time), 1064, 0
6745359, Mon Oct 25 2021 18:00:00 GMT-0700 (Pacific Daylight Time), 2472, 0
6745359, Mon Oct 25 2021 19:00:00 GMT-0700 (Pacific Daylight Time), 1320, 0
6745359, Mon Oct 25 2021 20:00:00 GMT-0700 (Pacific Daylight Time), 1421, 0
6745359, Mon Oct 25 2021 21:00:00 GMT-0700 (Pacific Daylight Time), 1165, 0
6745359, Mon Oct 25 2021 22:00:00 GMT-0700 (Pacific Daylight Time), 852, 0
6745359, Mon Oct 25 2021 23:00:00 GMT-0700 (Pacific Daylight Time), 423, 0
6745359, Tue Oct 26 2021 00:00:00 GMT-0700 (Pacific Daylight Time), 1474, 0
6745359, Tue Oct 26 2021 01:00:00 GMT-0700 (Pacific Daylight Time), 1428, 0
6745359, Tue Oct 26 2021 02:00:00 GMT-0700 (Pacific Daylight Time), 311, 0
6745359, Tue Oct 26 2021 03:00:00 GMT-0700 (Pacific Daylight Time), 375, 0
6745359, Tue Oct 26 2021 04:00:00 GMT-0700 (Pacific Daylight Time), 308, 0
6745359, Tue Oct 26 2021 05:00:00 GMT-0700 (Pacific Daylight Time), 310, 0
6745359, Tue Oct 26 2021 06:00:00 GMT-0700 (Pacific Daylight Time), 342, 0
6745359, Tue Oct 26 2021 07:00:00 GMT-0700 (Pacific Daylight Time), 832, 0
6745359, Tue Oct 26 2021 08:00:00 GMT-0700 (Pacific Daylight Time), 228, 19
6745359, Tue Oct 26 2021 09:00:00 GMT-0700 (Pacific Daylight Time), 1, 507
6745359, Tue Oct 26 2021 10:00:00 GMT-0700 (Pacific Daylight Time), 79, 302
6745359, Tue Oct 26 2021 11:00:00 GMT-0700 (Pacific Daylight Time), 11, 460
6745359, Tue Oct 26 2021 12:00:00 GMT-0700 (Pacific Daylight Time), 21, 662
6745359, Tue Oct 26 2021 13:00:00 GMT-0700 (Pacific Daylight Time), 1, 501
6745359, Tue Oct 26 2021 14:00:00 GMT-0700 (Pacific Daylight Time), 1, 342
6745359, Tue Oct 26 2021 15:00:00 GMT-0700 (Pacific Daylight Time), 21, 257
6745359, Tue Oct 26 2021 16:00:00 GMT-0700 (Pacific Daylight Time), 45, 11
6745359, Tue Oct 26 2021 17:00:00 GMT-0700 (Pacific Daylight Time), 431, 0
6745359, Tue Oct 26 2021 18:00:00 GMT-0700 (Pacific Daylight Time), 1046.999, 0
6745359, Tue Oct 26 2021 19:00:00 GMT-0700 (Pacific Daylight Time), 906, 0
6745359, Tue Oct 26 2021 20:00:00 GMT-0700 (Pacific Daylight Time), 984, 0
6745359, Tue Oct 26 2021 21:00:00 GMT-0700 (Pacific Daylight Time), 894, 0
6745359, Tue Oct 26 2021 22:00:00 GMT-0700 (Pacific Daylight Time), 687, 0
6745359, Tue Oct 26 2021 23:00:00 GMT-0700 (Pacific Daylight Time), 500, 0
6745359, Wed Oct 27 2021 00:00:00 GMT-0700 (Pacific Daylight Time), 1500, 0
6745359, Wed Oct 27 2021 01:00:00 GMT-0700 (Pacific Daylight Time), 1443, 0
6745359, Wed Oct 27 2021 02:00:00 GMT-0700 (Pacific Daylight Time), 336, 0
6745359, Wed Oct 27 2021 03:00:00 GMT-0700 (Pacific Daylight Time), 380, 0
6745359, Wed Oct 27 2021 04:00:00 GMT-0700 (Pacific Daylight Time), 302, 0
6745359, Wed Oct 27 2021 05:00:00 GMT-0700 (Pacific Daylight Time), 315, 0
6745359, Wed Oct 27 2021 06:00:00 GMT-0700 (Pacific Daylight Time), 369, 0
6745359, Wed Oct 27 2021 07:00:00 GMT-0700 (Pacific Daylight Time), 538, 0
6745359, Wed Oct 27 2021 08:00:00 GMT-0700 (Pacific Daylight Time), 818, 27
6745359, Wed Oct 27 2021 09:00:00 GMT-0700 (Pacific Daylight Time), 324, 396
6745359, Wed Oct 27 2021 10:00:00 GMT-0700 (Pacific Daylight Time), 78, 570
6745359, Wed Oct 27 2021 11:00:00 GMT-0700 (Pacific Daylight Time), 0, 1054
6745359, Wed Oct 27 2021 12:00:00 GMT-0700 (Pacific Daylight Time), 2, 997
6745359, Wed Oct 27 2021 13:00:00 GMT-0700 (Pacific Daylight Time), 3, 1056
6745359, Wed Oct 27 2021 14:00:00 GMT-0700 (Pacific Daylight Time), 0, 912
6745359, Wed Oct 27 2021 15:00:00 GMT-0700 (Pacific Daylight Time), 1, 445
6745359, Wed Oct 27 2021 16:00:00 GMT-0700 (Pacific Daylight Time), 361, 42
6745359, Wed Oct 27 2021 17:00:00 GMT-0700 (Pacific Daylight Time), 545, 0
6745359, Wed Oct 27 2021 18:00:00 GMT-0700 (Pacific Daylight Time), 424, 0
6745359, Wed Oct 27 2021 19:00:00 GMT-0700 (Pacific Daylight Time), 608, 0
6745359, Wed Oct 27 2021 20:00:00 GMT-0700 (Pacific Daylight Time), 891, 0
6745359, Wed Oct 27 2021 21:00:00 GMT-0700 (Pacific Daylight Time), 801, 0
6745359, Wed Oct 27 2021 22:00:00 GMT-0700 (Pacific Daylight Time), 683, 0
6745359, Wed Oct 27 2021 23:00:00 GMT-0700 (Pacific Daylight Time), 604, 0
6745359, Thu Oct 28 2021 00:00:00 GMT-0700 (Pacific Daylight Time), 1467, 0
6745359, Thu Oct 28 2021 01:00:00 GMT-0700 (Pacific Daylight Time), 1461, 0
6745359, Thu Oct 28 2021 02:00:00 GMT-0700 (Pacific Daylight Time), 372, 0
6745359, Thu Oct 28 2021 03:00:00 GMT-0700 (Pacific Daylight Time), 309, 0
